Song,Band,Number of Times Listened
"Mozart: 12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265 - Variation 11",Lang Lang,6
Somewhere Only We Know,Simply Three,6
"Mozart: Piano Concerto No. 21 in C Major, K. 467 - 2. Andante","Mitsuko Uchida, English Chamber Orchestra, Jeffrey Tate & Wolfgang Amadeus Mozart",6
Secrets,Jennifer Thomas,6
Gravity Of Love,"Enigma, Michael Cretu & Jens Gad",6
Beyond The Invisible,Enigma,6
T.N.T. For The Brain,Enigma,6
Kindred Spirit,Deuter,6
Feels Like We Only Go Backwards,Tame Impala,5
It / Watcher Of The Skies,Genesis,5
Existence,August Burns Red,5
Down With The Sickness,Disturbed,5
Adrenaline,Shinedown,5
Bouncing Off the Wall,Green Day,5
Slither,Velvet Revolver,5
Give Me a Reason,Three Days Grace,5
The Upside Of Vanity,Aranda,5
Lullaby,Budapest Strings,5
Let It Happen,Tame Impala,5
Study Music,"Einstein Study Music Academy, Focus Study Music Academy & Music For Reading",5
Background Music For Focus and Concentration,"Concentration Music for Work, Studying Music For Focus & Easy Listening Background Music",5
Music For Studying,"Studying Music, Music for Focus and Concentration & Study Music for Focus",5
Background Music For Reading,"Study Music for Focus, Relaxing Sounds of Nature & Music For Studying and Concentration",5
Indonesia,August Burns Red,5
All Within My Hands,Metallica & San Francisco Symphony,5
Paralyzer,Finger Eleven,5
1x1,Bring Me The Horizon feat. Nova Twins,5
Rest In Peace,Extreme,5
Right Hand Man,"Christopher Jackson, Lin-Manuel Miranda, Leslie Odom, Jr., Original Broadway Cast of Hamilton",5
You'll Be Back,"Jonathan Groff, Original Broadway Cast of Hamilton",5
The Story of Tonight,"Lin-Manuel Miranda, Anthony Ramos, Okieriete Onaodowan, Daveed Diggs, Original Broadway Cast of Hamilton",5
"Aaron Burr, Sir","Lin-Manuel Miranda, Leslie Odom , Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan",5
Chemicals,Halestorm,5
ANTI-SOCIAL,While She Sleeps,5
Tremor,Currents,5
How I Fall Apart,Currents,5
Here's To Us,Halestorm,5
This Is Me,Keala Settle & The Greatest Showman Ensemble,5
Somebody That I Used to Know,Three Days Grace,5
Anything She Does,Genesis,5
Land of Confusion,Genesis,5
"Tonight, Tonight, Tonight",Genesis,5
Invisible Touch,Genesis,5
Nightrain,Guns N' Roses,5
2112 Overture / The Temples Of Syrinx,Rush,5
Freewill,Rush,5
Brodels,311,5
More Than A Memory,Hoobastank,5
Wolf Totem,The HU,5
Be My Yoko Ono,Barenaked Ladies,5
Hallelujah,Brian Crain,5
Carried on a Breeze,Roger Saint-Denis,5
Serenity,Liquid Mind,5
My Hero,Foo Fighters,5
Weightless,Marconi Union,5
Gravity,Wage War,5
Dying Slowly,Saint Asonia,5
Stuff Is Messed Up,The Offspring,5
Infest,Papa Roach,5
Untraveled Road,Thousand Foot Krutch,5
Free Bird,Lynyrd Skynyrd,5
Bones,August Burns Red,5
Nangs,Tame Impala,5
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale,Rush,5
1979,The Smashing Pumpkins,5
Never Too Late,Three Days Grace,5
"Haydn: String Quartet in E Major, Hob.III:8,  - 3. Adagio",The Angeles String Quartet & Joseph Haydn,5
MANTRA,Bring Me The Horizon,5
Nothing Else Matters,Metallica,5
PYRO,Shinedown,5
Pizza,Attila,5
Good Feeling,311,5
The Haze,Thornhill,5
Here's to Us,Halestorm,5
Ex's & Oh's,Elle King,5
The First Of Me,Hoobastank,5
Bloodletter,August Burns Red,5
Trust,Gold Panda,5
Get The Funk Out,Extreme,5
When I'm President,Extreme,5
Chop Suey!,System Of A Down,5
Enemies,Shinedown,5
...And Justice for All,Metallica,5
Vice Grip,Parkway Drive,5
Back From Cali,Slash,5
Say It Ain't So,Weezer,5
Wonderwall,Oasis,5
Misdirected Hostility,311,5
All Fucked Up,The Amity Affliction,5
Nocturnal,Eve 6,5
FM,Steely Dan,5
I Don't Care Anymore,Saint Asonia,5
Everlong,Foo Fighters,5
Applied Science,311,5
Random,311,5
Absolute Power,Parkway Drive,5
Showdown,311,5
"J.S. Bach: The Art Of Fugue, BWV 1080 - Version For String Quartet - Contrapunctus I",Emerson String Quartet & Johann Sebastian Bach,5
"J.S. Bach: Violin Concerto No.2 In E, BWV 1042 - 3. Allegro assai","Hilary Hahn, Los Angeles Chamber Orchestra, Jeffrey Kahane & Johann Sebastian Bach",5
"Unaccompanied Cello Suite No. 1 In G Major, BWV 1007: Allemande",Yo-Yo Ma & Johann Sebastian Bach,5
"Four Seasons, Op.8 , Spring: Allegro",Itzhak Perlman/London Philharmonic Orchestra & Antonio Vivaldi,5
"J.S. Bach: Herz und Mund und Tat und Leben, Cantata BWV 147 - 10. Jesu, Joy Of Man's Desiring",Orpheus Chamber Orchestra & Johann Sebastian Bach,5
"You're Gonna Go Far, Kid",The Offspring,5
Man of Our Times,Genesis,5
Twinkle Lullaby,The Piano Guys,5
Interstate Love Song,Stone Temple Pilots,5
Illumination,Jennifer Thomas,5
Perfect,2Cellos,5
Witness,Wage War,5
"Brahms: String Sextet No. 1 in B-Flat Major, Op. 18 - 2. Andante ma moderato","Amadeus Quartet, Cecil Aronowitz, William Pleeth & Johannes Brahms",5
Pass It Around,The Donnas,5
Just the Way You Are - Piano/cello Cover,"Jon Schmidt, Steven Sharp Nelson & The Piano Guys",5
Bluebird,Alexis Ffrench,5
Make You Feel My Love,Escala,5
Roundtable Rival,Lindsey Stirling,5
"Sonata No. 16 in C Major for Piano, K. 545, ""Sonata facile"": I. Allegro",Various artists & Wolfgang Amadeus Mozart,5
"Mozart: Piano Concerto No.27 in B flat, K.595 - 2. Larghetto","Alfred Brendel, Academy of St. Martin in the Fields, Sir Neville Marriner & Wolfgang Amadeus Mozart",5
"J.S. Bach: The Well-Tempered Clavier: Book 1, BWV 846-869 - 1. Prelude",Pierre-Laurent Aimard & Johann Sebastian Bach,5
"Sonata No. 12 in F Major for Piano, K. 332: II. Adagio",Carmen Piazzini & Wolfgang Amadeus Mozart,5
Radioactive,Pentatonix & Lindsey Stirling,5
Age Of Loneliness,Enigma,5
The Cross Of Changes,Enigma,5
Smell Of Desire,"Enigma, Michael Cretu & Jens Gad",5
I Love You... I'll Kill You,Enigma,5
"Chopin: Waltz No.10 in B Minor, Op.69, No.2",Vladimir Ashkenazy & Frédéric Chopin,5
"Berceuse in D-Flat Major, Op. 57",Various artists & Frédéric Chopin,5
Claire De Lune,Debussy Consort,5
Sadeness,Enigma,5
Principles Of Lust,Enigma,5
"Nocturnes, Op. 55: No. 1 in F Minor",Arthur Rubinstein & Frédéric Chopin,5
All Out Life,Slipknot,5
Carlotta Valdez,Harvey Danger,4
Happy Song,Bring Me The Horizon,4
Operate,Three Days Grace,4
Know Your Enemy,Green Day,4
Love You Like I Used To,Russell Dickerson,4
Long Live,Florida Georgia Line,4
More Than My Hometown,Morgan Wallen,4
Born For Greatness,Papa Roach,4
KILL YOUR CONSCIENCE,Shinedown,4
My Name Is Human,Highly Suspect,4
ROCKIN' IN THE FREE WORLD,Smith & Myers,4
Teardrops,Bring Me The Horizon,4
Against Them All,Stick To Your Guns,4
Black & White,Juice WRLD,4
The Mountain,Three Days Grace,4
Shakin' Hands,Nickelback,4
Skulls,Halestorm,4
Plush,Stone Temple Pilots,4
Fuck Time,Green Day,4
Lowlife,Theory Of A Deadman,4
Sounds to Improve Focus,Focus on Learning Guru,4
Wellness First,Focus on Learning Guru,4
